VIDEO_URI,TIME_SEGMENT_START,TIME_SEGMENT_END,LABEL,ANNOTATION_FRAME_TIMESTAMP
gs://folder/69241.mp4,0,inf,book,
gs://folder/65225.mp4,0,inf,book,
gs://folder/68011.mp4,0,inf,book,
gs://folder/68208.mp4,0,inf,book,
gs://folder/68012.mp4,0,inf,book,
gs://folder/70212.mp4,0,inf,book,
gs://folder/70266.mp4,0,inf,book,
gs://folder/07085.mp4,0,inf,book,
gs://folder/07086.mp4,0,inf,book,
gs://folder/07087.mp4,0,inf,book,
gs://folder/07069.mp4,0,inf,book,
gs://folder/07088.mp4,0,inf,book,
gs://folder/07089.mp4,0,inf,book,
gs://folder/07090.mp4,0,inf,book,
gs://folder/07091.mp4,0,inf,book,
gs://folder/07092.mp4,0,inf,book,
gs://folder/07093.mp4,0,inf,book,
gs://folder/07068.mp4,0,inf,book,
gs://folder/07094.mp4,0,inf,book,
gs://folder/07095.mp4,0,inf,book,
gs://folder/07096.mp4,0,inf,book,
gs://folder/07097.mp4,0,inf,book,
gs://folder/07070.mp4,0,inf,book,
gs://folder/07098.mp4,0,inf,book,
gs://folder/07099.mp4,0,inf,book,
gs://folder/07071.mp4,0,inf,book,
gs://folder/07072.mp4,0,inf,book,
gs://folder/07073.mp4,0,inf,book,
gs://folder/67424.mp4,0,inf,book,
gs://folder/07074.mp4,0,inf,book,
gs://folder/07075.mp4,0,inf,book,
gs://folder/07076.mp4,0,inf,book,
gs://folder/07077.mp4,0,inf,book,
gs://folder/07078.mp4,0,inf,book,
gs://folder/07079.mp4,0,inf,book,
gs://folder/07080.mp4,0,inf,book,
gs://folder/07081.mp4,0,inf,book,
gs://folder/07082.mp4,0,inf,book,
gs://folder/07083.mp4,0,inf,book,
gs://folder/07084.mp4,0,inf,book,
gs://folder/69302.mp4,0,inf,drink,
gs://folder/65539.mp4,0,inf,drink,
gs://folder/70173.mp4,0,inf,drink,
gs://folder/68538.mp4,0,inf,drink,
gs://folder/68042.mp4,0,inf,drink,
gs://folder/68660.mp4,0,inf,drink,
gs://folder/68041.mp4,0,inf,drink,
gs://folder/17725.mp4,0,inf,drink,
gs://folder/17726.mp4,0,inf,drink,
gs://folder/17727.mp4,0,inf,drink,
gs://folder/17728.mp4,0,inf,drink,
gs://folder/17710.mp4,0,inf,drink,
gs://folder/17729.mp4,0,inf,drink,
gs://folder/17730.mp4,0,inf,drink,
gs://folder/17731.mp4,0,inf,drink,
gs://folder/17732.mp4,0,inf,drink,
gs://folder/17733.mp4,0,inf,drink,
gs://folder/65540.mp4,0,inf,drink,
gs://folder/17734.mp4,0,inf,drink,
gs://folder/17711.mp4,0,inf,drink,
gs://folder/17712.mp4,0,inf,drink,
gs://folder/17713.mp4,0,inf,drink,
gs://folder/17714.mp4,0,inf,drink,
gs://folder/17715.mp4,0,inf,drink,
gs://folder/17716.mp4,0,inf,drink,
gs://folder/17717.mp4,0,inf,drink,
gs://folder/17718.mp4,0,inf,drink,
gs://folder/17709.mp4,0,inf,drink,
gs://folder/67594.mp4,0,inf,drink,
gs://folder/17719.mp4,0,inf,drink,
gs://folder/17720.mp4,0,inf,drink,
gs://folder/17721.mp4,0,inf,drink,
gs://folder/17722.mp4,0,inf,drink,
gs://folder/17723.mp4,0,inf,drink,
gs://folder/17724.mp4,0,inf,drink,
gs://folder/12306.mp4,0,inf,computer,
gs://folder/68028.mp4,0,inf,computer,
gs://folder/69054.mp4,0,inf,computer,
gs://folder/12328.mp4,0,inf,computer,
gs://folder/12329.mp4,0,inf,computer,
gs://folder/12330.mp4,0,inf,computer,
gs://folder/12312.mp4,0,inf,computer,
gs://folder/12331.mp4,0,inf,computer,
gs://folder/12332.mp4,0,inf,computer,
gs://folder/12333.mp4,0,inf,computer,
gs://folder/12335.mp4,0,inf,computer,
gs://folder/12336.mp4,0,inf,computer,
gs://folder/12311.mp4,0,inf,computer,
gs://folder/12337.mp4,0,inf,computer,
gs://folder/12338.mp4,0,inf,computer,
gs://folder/12313.mp4,0,inf,computer,
gs://folder/12314.mp4,0,inf,computer,
gs://folder/12315.mp4,0,inf,computer,
gs://folder/12316.mp4,0,inf,computer,
gs://folder/12317.mp4,0,inf,computer,
gs://folder/12318.mp4,0,inf,computer,
gs://folder/12319.mp4,0,inf,computer,
gs://folder/12320.mp4,0,inf,computer,
gs://folder/67519.mp4,0,inf,computer,
gs://folder/12321.mp4,0,inf,computer,
gs://folder/12322.mp4,0,inf,computer,
gs://folder/12323.mp4,0,inf,computer,
gs://folder/12324.mp4,0,inf,computer,
gs://folder/12326.mp4,0,inf,computer,
gs://folder/12327.mp4,0,inf,computer,
gs://folder/05724.mp4,0,inf,before,
gs://folder/70348.mp4,0,inf,before,
gs://folder/68007.mp4,0,inf,before,
gs://folder/05744.mp4,0,inf,before,
gs://folder/05746.mp4,0,inf,before,
gs://folder/05728.mp4,0,inf,before,
gs://folder/05747.mp4,0,inf,before,
gs://folder/05748.mp4,0,inf,before,
gs://folder/05749.mp4,0,inf,before,
gs://folder/05750.mp4,0,inf,before,
gs://folder/05729.mp4,0,inf,before,
gs://folder/05730.mp4,0,inf,before,
gs://folder/65167.mp4,0,inf,before,
gs://folder/05731.mp4,0,inf,before,
gs://folder/05732.mp4,0,inf,before,
gs://folder/05733.mp4,0,inf,before,
gs://folder/05734.mp4,0,inf,before,
gs://folder/05735.mp4,0,inf,before,
gs://folder/05736.mp4,0,inf,before,
gs://folder/05727.mp4,0,inf,before,
gs://folder/05737.mp4,0,inf,before,
gs://folder/05739.mp4,0,inf,before,
gs://folder/05740.mp4,0,inf,before,
gs://folder/05741.mp4,0,inf,before,
gs://folder/05742.mp4,0,inf,before,
gs://folder/05743.mp4,0,inf,before,
gs://folder/09847.mp4,0,inf,chair,
gs://folder/70230.mp4,0,inf,chair,
gs://folder/68580.mp4,0,inf,chair,
gs://folder/70263.mp4,0,inf,chair,
gs://folder/68019.mp4,0,inf,chair,
